User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
141577691,6/22/2021 19:06,Spot,Transaction Related,USDT,-10.155366,
141577691,6/22/2021 19:06,Spot,Fee,BNB,-0.00002844,
141577691,6/22/2021 20:48,Spot,Transaction Related,TFUEL,-96.3,
141577691,6/22/2021 20:48,Spot,Buy,USDT,43.815537,
141577691,6/22/2021 20:48,Spot,Fee,BNB,-0.00012095,
141577691,6/22/2021 20:57,Spot,Buy,TFUEL,24.2,
141577691,6/22/2021 20:57,Spot,Transaction Related,USDT,-10.967198,
141577691,6/22/2021 20:57,Spot,Fee,BNB,-0.00003045,
141577691,6/22/2021 20:58,Spot,Fee,BNB,-0.00003058,
141577691,6/22/2021 20:58,Spot,Buy,TFUEL,24.3,
141577691,6/22/2021 20:58,Spot,Transaction Related,USDT,-19.996577,
141577691,6/22/2021 20:58,Spot,Transaction Related,USDT,-10.985787,
141577691,6/22/2021 20:58,Spot,Fee,BNB,-0.00005575,
141577691,6/22/2021 20:58,Spot,Buy,TFUEL,44.3,
141577691,6/23/2021 0:51,Spot,Transaction Related,TFUEL,-92.8,
141577691,6/23/2021 0:51,Spot,Fee,BNB,-0.00011719,
141577691,6/23/2021 0:51,Spot,Buy,USDT,42.42816,
141577691,6/23/2021 1:04,Spot,Transaction Related,USDT,-10.99882,
141577691,6/23/2021 1:04,Spot,Fee,BNB,-0.00003018,
141577691,6/23/2021 1:04,Spot,Buy,SXP,6.26,
141577691,6/23/2021 1:07,Spot,Transaction Related,SXP,-6.26,
141577691,6/23/2021 1:07,Spot,Buy,USDT,11.19914,
141577691,6/23/2021 1:07,Spot,Fee,BNB,-0.00003025,
141577691,6/23/2021 1:10,Spot,Fee,BNB,-0.00002988,
141577691,6/23/2021 1:10,Spot,Buy,TFUEL,23.8,
141577691,6/23/2021 1:10,Spot,Transaction Related,USDT,-11.002264,
141577691,6/23/2021 1:10,Spot,Buy,SXP,6.169,
141577691,6/23/2021 1:10,Spot,Transaction Related,USDT,-10.986989,
141577691,6/23/2021 1:10,Spot,Fee,BNB,-0.00002969,
141577691,6/23/2021 1:16,Spot,Buy,USDT,11.067186,
141577691,6/23/2021 1:16,Spot,Fee,BNB,-0.00002962,
141577691,6/23/2021 1:16,Spot,Transaction Related,SXP,-6.169,
